snapshot_time,product_id,name_cn,product_name,region,price,day1_sold,day7_sold,day30_sold,sold,gmv,day7_gmv,review_count,rating,video_7d,live_7d,source
2026-07-10 18:15:41,1731209475345779408,豆浆机 / 多功能破壁机,CAMEL เครื่องปั่นอเนกประสงค์ เครื่องปั่นน้ำผลไม้ 1L/1.5L เครื่องทำนมถั่วเหลืองธัญพืช น้ำธัญพืช ดีต่อสุขภาพ สามารถทำอาหารเหลว Blender,TH,฿19.61-฿23.58,234,2118,5879,151061,"฿3,503,573.71","฿44,732.02",17268,4.8,67,200,EchoTik API
2026-07-10 18:15:41,1730508436883278544,煮蛋器,CAMEL เครื่องต้มไข่ไฟฟ้าสแตนเลสพลาสติก ต้มได้ 4 ฟอง ตั้งเวลาได้ Electric Egg Cooker,TH,฿8.87,116,947,4039,189185,"฿1,988,832.56","฿7,913.77",17845,4.8,29,183,EchoTik API
2026-07-10 18:15:41,1730942410885335760,手持挂烫机,CAMEL เตารีดไอน้ำแบบมือถือ พับเก็บได้ ใช้ได้สำหรับการเดินทางเพื่อธุรกิจ เตารีดผ้าไอน้ำพกพา Foldable Steam iron,TH,฿12.88-฿15.18,95,775,7259,39403,"฿624,603.83","฿9,942.76",5810,4.8,11,129,EchoTik API
2026-07-10 18:15:41,1730585612576197328,电煮锅 / 多功能电锅,CAMEL หม้อไฟฟ้า ชั้นนึ่ง/ไม่มีเครื่องนึ่ง หม้อไฟฟ้าอเนกประสงค์ 1.5L/3L/4L หม้อขนาดเล็ก ควบคุมอุณหภูมิสองระดับ หม้อหุงไฟฟ้า หม้อชาบูไฟฟ้า ไม่ติดหม้อ หม้ออเนกประสงค์ Rice Cooker,TH,฿8.35-฿14.13,420,2906,13101,169071,"฿2,175,915.98","฿30,207.06",21888,4.8,70,210,EchoTik API
